grapheme,phoneme,category,alias,notes
WASSCE,ˈwasi,exam,,West African Senior School Certificate Examination
BECE,ˈbiːsiː,exam,,Basic Education Certificate Examination
waakye,ˈwa.tʃe,food,,Ghanaian rice and beans dish
dumsor,ˈdum.sɔ,slang,,Power outages
banku,ˈbaŋku,food,,Maize and cassava dough dish
fufu,ˈfuːfuː,food,,Pounded cassava and plantain
kenkey,ˈkɛŋkeɪ,food,,Fermented maize dumpling
shito,ˈʃito,food,,Ghanaian hot pepper sauce
trotro,ˈtrotro,slang,,Commercial minibus taxi
sakawa,ˌsakəˈwa,slang,,Internet fraud with rituals
GES,dʒiː.iː.ˈɛs,institution,Ghana Education Service,
WAEC,ˈwaek,institution,West African Examinations Council,
