grapheme,phoneme,category,alias,notes
Dzigbordi,dʒiɡˈbɔːdi,personal_name,,Ewe/Ghanaian female name often mispronounced
Dzifa,ˈdʒifa,personal_name,,Common Ewe given name
Selorm,ˈsɛlɔm,personal_name,,Ewe given name
Nii Ayikwei,niː aˈjikweɪ,personal_name,,Ga given name with title Nii
Nii Armah,niː ˈama,personal_name,,Ga given name with title Nii
Naa Dedei,naː deˈdeɪ,personal_name,,Ga female name
Osei,ɔˈsɛ,personal_name,,Common Akan surname/given name
Owusu,ɔˈwusu,personal_name,,Common Akan surname/given name
Agyemang,adʒɛˈmaŋ,personal_name,,Common Akan surname
Adwoa,ˈadʒwa,personal_name,,Akan female day name (Monday)
Afua,aˈfuːa,personal_name,,Akan female day name (Friday)
Akua,aˈkua,personal_name,,Akan female day name (Wednesday)
Kwadwo,ˈkwadʒo,personal_name,,Akan male day name (Monday)
Kwabena,ˈkwabena,personal_name,,Akan male day name (Tuesday)
Yaw,jaʊ,personal_name,,Akan male day name (Thursday)
Kwabena Agyapong,ˈkwabena adʒaˈpɔŋ,personal_name,,Ghanaian public figure; compound Akan name
Zanetor Rawlings,ˈzanɛtɔ ˈrɔːlɪŋz,personal_name,,Ghanaian politician; daughter of J.J. Rawlings

