grapheme,phoneme,category,alias,notes
Ahafo Region,aˈhafo ˈriːdʒən,region,,Current region
Ashanti Region,aˈʃanti ˈriːdʒən,region,,Current region
Bono Region,ˈbɔno ˈriːdʒən,region,,Current region
Bono East Region,ˈbɔno iːst ˈriːdʒən,region,,Current region
Brong Ahafo Region,brɔŋ aˈhafo ˈriːdʒən,region,,Legacy region
Central Region,ˈsɛntrəl ˈriːdʒən,region,,
Eastern Region,ˈiːstən ˈriːdʒən,region,,
Greater Accra Region,ˈɡreɪtə əˈkraː ˈriːdʒən,region,,
Northern Region,ˈnɔːðən ˈriːdʒən,region,,
North East Region,nɔːθ iːst ˈriːdʒən,region,,
Oti Region,ˈoti ˈriːdʒən,region,,
Savannah Region,saˈvænə ˈriːdʒən,region,,
Upper East Region,ˈʌpə iːst ˈriːdʒən,region,,
Upper West Region,ˈʌpə west ˈriːdʒən,region,,
Volta Region,ˈvɔlta ˈriːdʒən,region,,
Western Region,ˈwɛstən ˈriːdʒən,region,,
Western North Region,ˈwɛstən nɔːθ ˈriːdʒən,region,,
