grapheme,phoneme,category,alias,notes
Accra,əˈkraː,city,,Capital city
Kumasi,kuˈmɑːsi,city,,Ashanti regional capital
Tamale,ˈtamale,city,,Northern regional capital
Sekondi-Takoradi,sɛˈkɔndi ˌtakɔˈradi,city,Twin City,Western regional capital
Tema,ˈtɛma,city,,Harbour/industrial city
Cape Coast,ˈkeɪp ˈkoʊst,city,,Central regional capital
Koforidua,kɔfɔˈridua,city,,Eastern regional capital
Ho,ho,city,,Volta regional capital
Wa,wa,city,,Upper West regional capital
Bolgatanga,ˌbɔlɡaˈtaŋɡa,city,Bolga,Upper East regional capital
Sunyani,suˈɲani,city,,Bono regional capital
Obuasi,oˈbwaːsi,city,,Mining town in Ashanti Region
Takoradi,takɔˈradi,city,,Part of Sekondi-Takoradi
Winneba,ˈwɪnɛba,city,,Coastal town in Central Region
Agona Swedru,aˌɡɔna ˈswedru,city,,Major town in Central Region
